Name,Links
201808-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201808-citibike-tripdata.csv.zip
201809-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201809-citibike-tripdata.csv.zip
201810-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201810-citibike-tripdata.csv.zip
201811-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201811-citibike-tripdata.csv.zip
201812-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201812-citibike-tripdata.csv.zip
201901-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201901-citibike-tripdata.csv.zip
201902-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201902-citibike-tripdata.csv.zip
201903-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201903-citibike-tripdata.csv.zip
201904-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201904-citibike-tripdata.csv.zip
201905-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201905-citibike-tripdata.csv.zip
201906-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201906-citibike-tripdata.csv.zip
201907-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201907-citibike-tripdata.csv.zip
201908-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201908-citibike-tripdata.csv.zip
201909-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201909-citibike-tripdata.csv.zip
201910-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201910-citibike-tripdata.csv.zip
201911-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201911-citibike-tripdata.csv.zip
201912-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/201912-citibike-tripdata.csv.zip
202001-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202001-citibike-tripdata.csv.zip
202002-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202002-citibike-tripdata.csv.zip
202003-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202003-citibike-tripdata.csv.zip
202004-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202004-citibike-tripdata.csv.zip
202005-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202005-citibike-tripdata.csv.zip
202006-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202006-citibike-tripdata.csv.zip
202007-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202007-citibike-tripdata.csv.zip
202008-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202008-citibike-tripdata.csv.zip
202009-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202009-citibike-tripdata.csv.zip
202010-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202010-citibike-tripdata.csv.zip
202011-citibike-tripdata.csv.zip,https://s3.amazonaws.com/tripdata/202011-citibike-tripdata.csv.zip
